assoc_cnpj;assoc_filial;assoc_datmvt;assoc_ass;assoc_desass;assoc_valdev;assoc_valven;assoc_margem;assoc_repres;assoc_metdia;
01141021000190;0000;20240501;AC;ACOUGUE                       ;000000000000.00;000000022307.78;0041.09;0778.00;000000000.00;
01141021000190;0000;20240501;AL;ALIMENTOS                     ;000000000000.00;000000020120.36;0044.50;2036.00;000000000.00;
01141021000190;0000;20240501;BA;BAZAR - SUPER                 ;000000000000.00;000000002351.93;0054.71;5193.00;000000000.00;
01141021000190;0000;20240501;BE;BEBIDAS                       ;000000000000.00;000000014150.64;0023.51;5064.00;000000000.00;
01141021000190;0000;20240501;HO;HORTIFRUTI                    ;000000000000.00;000000010350.26;0036.55;5026.00;000000000.00;
01141021000190;0000;20240501;HP;HIGIENE PESSOAL               ;000000000000.00;000000003382.15;0038.64;8215.00;000000000.00;
01141021000190;0000;20240501;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000010183.30;0042.19;8330.00;000000000.00;
01141021000190;0000;20240501;LI;LIMPEZA                       ;000000000000.00;000000005884.49;0046.33;8449.00;000000000.00;
01141021000190;0000;20240501;PA;PADARIA                       ;000000000000.00;000000007526.18;0055.17;2618.00;000000000.00;
01141021000190;0000;20240501;RP;RACOES PET                    ;000000000000.00;000000000681.14;0041.02;8114.00;000000000.00;
01141021000190;0000;20240501;VE;VESTUARIO                     ;000000000000.00;000000000044.55;0059.54;4455.00;000000000.00;
01141021000190;0000;20240501;XX;TOTAL DO DIA                  ;000000000000.00;000000096982.78;0040.52;8278.00;000000000.00;
01141021000190;0000;20240502;AC;ACOUGUE                       ;000000000000.00;000000039693.72;0040.46;9372.00;000000000.00;
01141021000190;0000;20240502;AL;ALIMENTOS                     ;000000000000.00;000000031633.40;0045.74;3340.00;000000000.00;
01141021000190;0000;20240502;BA;BAZAR - SUPER                 ;000000000000.00;000000005419.21;0054.18;1921.00;000000000.00;
01141021000190;0000;20240502;BE;BEBIDAS                       ;000000000000.00;000000025870.36;0023.11;7036.00;000000000.00;
01141021000190;0000;20240502;HO;HORTIFRUTI                    ;000000000000.00;000000020396.23;0035.50;9623.00;000000000.00;
01141021000190;0000;20240502;HP;HIGIENE PESSOAL               ;000000000000.00;000000006583.05;0038.90;8305.00;000000000.00;
