
total_cnpj;total_datatu;total_filial;total_valdev;total_valven;total_margem;total_permet;total_projec;total_valjur;total_perjur;total_valina;total_perina;total_valest;total_meta;
01141021000190;20240501;00000000;000000000000.00;000002538929.41;0040.14;0052.13;1616.15;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240501;00000001;000000000000.00;000000054541.64;0040.37;0004.04;0125.24;0.00;0.00;0.00;0.00;0.00;001350000.00;
01141021000190;20240501;00000003;000000000000.00;000000042441.14;0040.73;0002.54;0078.78;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240502;00000000;000000000000.00;000002884697.31;0040.13;0059.23;0918.12;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240502;00000001;000000000000.00;000000142338.51;0039.24;0010.54;0163.42;0.00;0.00;0.00;0.00;0.00;001350000.00;
01141021000190;20240502;00000002;000000000000.00;000000036356.46;0044.19;0001.96;0060.92;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240502;00000003;000000000000.00;000000091171.76;0040.17;0005.45;0084.62;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240503;00000000;000000000000.00;000003199276.81;0040.12;0065.69;0678.83;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240503;00000001;000000000000.00;000000191799.77;0039.12;0014.20;0146.80;0.00;0.00;0.00;0.00;0.00;001350000.00;
01141021000190;20240503;00000002;000000000000.00;000000072978.17;0043.82;0003.94;0061.14;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240503;00000003;000000000000.00;000000162378.54;0039.71;0009.72;0100.47;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240504;00000000;000000000000.00;000003478272.95;0040.16;0071.42;0553.52;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240504;00000001;000000000000.00;000000245471.69;0039.51;0018.18;0140.91;0.00;0.00;0.00;0.00;0.00;001350000.00;
01141021000190;20240504;00000002;000000000000.00;000000113504.31;0043.02;0006.13;0063.39;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240504;00000003;000000000000.00;000000207678.55;0039.65;0012.43;0096.37;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240505;00000000;000000000000.00;000003767853.25;0040.17;0077.36;0479.68;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240505;00000001;000000000000.00;000000305466.43;0039.44;0022.62;0140.28;0.00;0.00;0.00;0.00;0.00;001350000.00;
01141021000190;20240505;00000002;000000000000.00;000000166030.44;0042.17;0008.97;0069.55;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240505;00000003;000000000000.00;000000239947.83;0040.02;0014.36;0089.08;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240506;00000000;000000000000.00;000004118569.65;0040.14;0084.57;0436.94;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240506;00000001;000000000000.00;000000375142.13;0039.25;0027.78;0143.57;0.00;0.00;0.00;0.00;0.00;001350000.00;
01141021000190;20240506;00000002;000000000000.00;000000236803.27;0041.65;0012.80;0079.36;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240506;00000003;000000000000.00;000000274857.50;0040.24;0016.45;0085.03;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240507;00000000;000000000000.00;000004447258.07;0040.11;0091.31;0404.41;0.00;0.00;0.00;0.00;0.00;004870000.00;
