
resumo_cnpj;resumo_codfil;resumo_desfil;resumo_datmvt;resumo_valdev;resumo_valven;resumo_margem;resumo_presen;resumo_metdia;
01141021000190;0000;TOTAL GERAL;20240501;000000000000.00;000000096982.78;0040.53;0001.99;000157096.77;
01141021000190;0000;TOTAL GERAL;20240502;000000000000.00;000000172883.95;0040.05;0003.54;000157096.77;
01141021000190;0000;TOTAL GERAL;20240503;000000000000.00;000000157289.75;0040.02;0003.22;000157096.77;
01141021000190;0000;TOTAL GERAL;20240504;000000000000.00;000000139498.07;0040.62;0002.86;000157096.77;
01141021000190;0000;TOTAL GERAL;20240505;000000000000.00;000000144790.15;0040.32;0002.97;000157096.77;
01141021000190;0000;TOTAL GERAL;20240506;000000000000.00;000000175358.20;0039.88;0003.60;000157096.77;
01141021000190;0000;TOTAL GERAL;20240507;000000000000.00;000000164344.21;0039.67;0003.37;000157096.77;
01141021000190;0000;TOTAL GERAL;20240508;000000000000.00;000000156274.38;0040.39;0003.20;000157096.77;
01141021000190;0000;TOTAL GERAL;20240509;000000000000.00;000000211697.06;0039.25;0004.34;000157096.77;
01141021000190;0000;TOTAL GERAL;20240510;000000000000.00;000000176713.93;0039.05;0003.62;000157096.77;
01141021000190;0000;TOTAL GERAL;20240511;000000000000.00;000000083683.30;0039.13;0001.71;000157096.77;
01141021000190;0000;TOTAL GERAL;20240512;000000000000.00;000000100382.36;0040.21;0002.06;000157096.77;
01141021000190;0000;TOTAL GERAL;20240513;000000000000.00;000000068900.52;0039.70;0001.41;000157096.77;
01141021000190;0000;TOTAL GERAL;20240514;000000000000.00;000000084276.10;0040.53;0001.73;000157096.77;
01141021000190;0000;TOTAL GERAL;20240515;000000000000.00;000000072631.89;0042.16;0001.49;000157096.77;
01141021000190;0000;TOTAL GERAL;20240516;000000000000.00;000000080757.50;0040.99;0001.65;000157096.77;
01141021000190;0000;TOTAL GERAL;20240517;000000000000.00;000000102968.37;0041.17;0002.11;000157096.77;
01141021000190;0000;TOTAL GERAL;20240518;000000000000.00;000000077399.11;0039.81;0001.58;000157096.77;
01141021000190;0000;TOTAL GERAL;20240519;000000000000.00;000000078132.22;0040.98;0001.60;000157096.77;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240501;000000000000.00;000000054541.64;0040.37;0004.04;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240502;000000000000.00;000000087796.87;0038.53;0006.50;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240503;000000000000.00;000000049461.26;0038.76;0003.66;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240504;000000000000.00;000000053671.92;0040.92;0003.97;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240505;000000000000.00;000000059994.74;0039.18;0004.44;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240506;000000000000.00;000000069675.70;0038.37;0005.16;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240507;000000000000.00;000000078207.49;0038.87;0005.79;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240508;000000000000.00;000000075388.41;0039.35;0005.58;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240509;000000000000.00;000000115528.19;0038.69;0008.55;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240510;000000000000.00;000000048921.61;0038.12;0003.62;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240516;000000000000.00;000000000994.14;0038.28;0000.07;000043548.38;
01141021000190;0001;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240517;000000000000.00;000000000109.78;0032.65;0000.00;000043548.38;
